match_id,ID,first name,last name,team_name,minute,yellow card,red card,2nd yellow card,match_period
M-2022-23,P-78484,Jules,Koundé,France,43',1,0,0,first half
M-2022-24,P-38529,Néstor,Araujo,Mexico,22',1,0,0,first half
M-2022-24,P-91431,Gonzalo,Montiel,Argentina,43',1,0,0,first half
M-2022-24,P-64299,Érick,Gutiérrez,Mexico,50',1,0,0,second half
M-2022-24,P-42911,Héctor,Herrera,Mexico,66',1,0,0,second half
M-2022-24,P-73491,Roberto,Alvarado,Mexico,89',1,0,0,second half
M-2022-25,P-02556,Anthony,Contreras,Costa Rica,41',1,0,0,first half
M-2022-25,P-45981,Miki,Yamane,Japan,44',1,0,0,first half
M-2022-25,P-11767,Celso,Borges,Costa Rica,61',1,0,0,second half
M-2022-25,P-71100,Francisco,Calvo,Costa Rica,70',1,0,0,second half
M-2022-25,P-35225,Ko,Itakura,Japan,84',1,0,0,second half
M-2022-25,P-53282,Wataru,Endo,Japan,90'+3',1,0,0,"second half, stoppage time"
M-2022-26,P-21652,Amadou,Onana,Belgium,29',1,0,0,first half
M-2022-26,P-05265,Abdelhamid,Sabiri,Morocco,90'+5',1,0,0,"second half, stoppage time"
M-2022-27,P-96259,Tajon,Buchanan,Canada,52',1,0,0,second half
M-2022-27,P-56297,Dejan,Lovren,Croatia,56',1,0,0,second half
M-2022-27,P-29491,Luka,Modric,Croatia,85',1,0,0,second half
M-2022-27,P-31806,Kamal,Miller,Canada,85',1,0,0,second half
M-2022-28,P-11933,Thilo,Kehrer,Germany,37',1,0,0,first half
M-2022-28,P-28010,Sergio,Busquets,Spain,44',1,0,0,first half
M-2022-28,P-79409,Leon,Goretzka,Germany,58',1,0,0,second half
M-2022-28,P-30316,Joshua,Kimmich,Germany,60',1,0,0,second half
M-2022-29,P-93209,Nicolas,Nkoulou,Cameroon,24',1,0,0,first half
M-2022-29,P-51549,Christian,Bassogog,Cameroon,30',1,0,0,first half
M-2022-29,P-62033,Luka,Jovic,Serbia,45'+4',1,0,0,"first half, stoppage time"
M-2022-29,P-57535,Nikola,Milenkovic,Serbia,90'+3',1,0,0,"second half, stoppage time"
M-2022-30,P-82956,Daniel,Amartey,Ghana,21',1,0,0,first half
M-2022-30,P-64292,Woo-young,Jung,South Korea,27',1,0,0,first half
M-2022-30,P-12913,Tariq,Lamptey,Ghana,73',1,0,0,second half
M-2022-30,P-07259,Young-gwon,Kim,South Korea,77',1,0,0,second half
M-2022-31,P-25593,Fabian,Rieder,Switzerland,50',1,0,0,second half
M-2022-31,P-74941,not applicable,Fred,Brazil,52',1,0,0,second half
M-2022-32,P-22983,Rúben,Neves,Portugal,38',1,0,0,first half
M-2022-32,P-90796,Mathías,Olivera,Uruguay,44',1,0,0,first half
M-2022-32,P-58791,Rodrigo,Bentancur,Uruguay,6',1,0,0,first half
M-2022-32,P-17931,João,Félix,Portugal,77',1,0,0,second half
