match_id,ID,first name,last name,team_name,goal
M-2022-53,P-05559,Takumi,Minamino,Japan,0
M-2022-53,P-22633,Kaoru,Mitoma,Japan,0
M-2022-53,P-46913,Takuma,Asano,Japan,1
M-2022-53,P-89321,Maya,Yoshida,Japan,0
M-2022-53,P-22160,Nikola,Vlašic,Croatia,1
M-2022-53,P-79215,Marcelo,Brozovic,Croatia,1
M-2022-53,P-31643,Marko,Livaja,Croatia,0
M-2022-53,P-89948,Mario,Pašalic,Croatia,1
M-2022-55,P-05265,Abdelhamid,Sabiri,Morocco,1
M-2022-55,P-70715,Hakim,Ziyech,Morocco,1
M-2022-55,P-00597,Badr,Benoun,Morocco,0
M-2022-55,P-45288,Achraf,Hakimi,Morocco,1
M-2022-55,P-81427,Pablo,Sarabia,Spain,0
M-2022-55,P-30405,Carlos,Soler,Spain,0
M-2022-55,P-28010,Sergio,Busquets,Spain,0
M-2022-57,P-22160,Nikola,Vlašic,Croatia,1
M-2022-57,P-64353,Lovro,Majer,Croatia,1
M-2022-57,P-29491,Luka,Modric,Croatia,1
M-2022-57,P-26942,Mislav,Oršic,Croatia,1
M-2022-57,P-06446,not applicable,Rodrygo,Brazil,0
M-2022-57,P-02305,not applicable,Casemiro,Brazil,1
M-2022-57,P-15197,not applicable,Pedro,Brazil,1
M-2022-57,P-76060,not applicable,Marquinhos,Brazil,0
M-2022-58,P-56029,Virgil,van Dijk,Netherlands,0
M-2022-58,P-10326,Steven,Berghuis,Netherlands,0
M-2022-58,P-35705,Teun,Koopmeiners,Netherlands,1
M-2022-58,P-95036,Wout,Weghorst,Netherlands,1
M-2022-58,P-64551,Luuk,de Jong,Netherlands,1
M-2022-58,P-14758,Lionel,Messi,Argentina,1
M-2022-58,P-27582,Leandro,Paredes,Argentina,1
M-2022-58,P-91431,Gonzalo,Montiel,Argentina,1
M-2022-58,P-10739,Enzo,Fernández,Argentina,0
M-2022-58,P-81505,Lautaro,Martínez,Argentina,1
M-2022-64,P-14758,Lionel,Messi,Argentina,1
M-2022-64,P-28151,Paulo,Dybala,Argentina,1
M-2022-64,P-27582,Leandro,Paredes,Argentina,1
M-2022-64,P-91431,Gonzalo,Montiel,Argentina,1
M-2022-64,P-64077,Kylian,Mbappé,France,1
M-2022-64,P-06614,Kingsley,Coman,France,0
M-2022-64,P-54517,Aurélien,Tchouaméni,France,0
M-2022-64,P-92987,Randal,Kolo Muani,France,1
