match_id,stage_name,group_name,home team,away team,station name,city,country,capacity,date,time
M-2022-53,round of 16,not applicable,Japan,Croatia,Al Janoub Stadium,Al Wakrah,Qatar,44000,2022-12-05,18:00
M-2022-54,round of 16,not applicable,Brazil,South Korea,Stadium 974,Doha,Qatar,44000,2022-12-05,22:00
M-2022-55,round of 16,not applicable,Morocco,Spain,Education City Stadium,Al Rayyan,Qatar,45000,2022-12-06,18:00
M-2022-56,round of 16,not applicable,Portugal,Switzerland,Lusail Stadium,Lusail,Qatar,89000,2022-12-06,22:00
M-2022-57,quarter-finals,not applicable,Croatia,Brazil,Education City Stadium,Al Rayyan,Qatar,45000,2022-12-09,18:00
M-2022-58,quarter-finals,not applicable,Netherlands,Argentina,Lusail Stadium,Lusail,Qatar,89000,2022-12-09,22:00
M-2022-59,quarter-finals,not applicable,Morocco,Portugal,Al Thumama Stadium,Doha,Qatar,44000,2022-12-10,18:00
M-2022-60,quarter-finals,not applicable,England,France,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-10,22:00
M-2022-61,semi-finals,not applicable,Argentina,Croatia,Lusail Stadium,Lusail,Qatar,89000,2022-12-13,22:00
M-2022-62,semi-finals,not applicable,France,Morocco,Al Bayt Stadium,Al Khor,Qatar,69000,2022-12-14,22:00
M-2022-63,third-place match,not applicable,Croatia,Morocco,Khalifa International Stadium,Al Rayyan,Qatar,46000,2022-12-17,18:00
M-2022-64,final,not applicable,Argentina,France,Lusail Stadium,Lusail,Qatar,89000,2022-12-18,18:00
