booking_id,match_id,player_id,minute,yellow card,red card,2nd yellow card,match_period
B-109,M-2022-32,P-90796,44',1,0,0,first half
B-110,M-2022-32,P-58791,6',1,0,0,first half
B-111,M-2022-32,P-17931,77',1,0,0,second half
B-112,M-2022-32,P-10712,89',1,0,0,second half
B-113,M-2022-33,P-40621,66',1,0,0,second half
B-114,M-2022-34,P-64438,52',1,0,0,second half
B-115,M-2022-35,P-14151,43',1,0,0,first half
B-116,M-2022-35,P-15905,77',1,0,0,second half
B-117,M-2022-35,P-74612,83',1,0,0,second half
B-118,M-2022-35,P-62858,90'+6',1,0,0,"second half, stoppage time"
B-119,M-2022-36,P-74707,29',1,0,0,first half
B-120,M-2022-36,P-86951,61',1,0,0,second half
B-121,M-2022-37,P-51118,4',1,0,0,first half
B-122,M-2022-37,P-59727,57',1,0,0,second half
B-123,M-2022-37,P-76468,75',1,0,0,second half
B-124,M-2022-38,P-27079,28',1,0,0,first half
B-125,M-2022-39,P-73712,49',1,0,0,second half
B-126,M-2022-39,P-45449,78',1,0,0,second half
B-127,M-2022-40,P-26546,16',1,0,0,first half
B-128,M-2022-40,P-37308,28',1,0,0,first half
B-129,M-2022-40,P-45413,34',1,0,0,first half
B-130,M-2022-40,P-93173,52',1,0,0,second half
B-131,M-2022-40,P-20388,81',1,0,0,second half
B-132,M-2022-40,P-12335,90'+1',1,0,0,"second half, stoppage time"
B-133,M-2022-40,P-84563,90'+7',1,0,0,"second half, stoppage time"
B-134,M-2022-41,P-27541,26',1,0,0,first half
B-135,M-2022-41,P-55821,45'+2',1,0,0,"first half, stoppage time"
B-136,M-2022-41,P-35706,7',1,0,0,first half
B-137,M-2022-41,P-89710,84',1,0,0,second half
B-138,M-2022-42,P-73834,67',1,0,0,second half
B-139,M-2022-43,P-97912,77',1,0,0,second half
B-140,M-2022-44,P-35225,39',1,0,0,first half
B-141,M-2022-44,P-77382,44',1,0,0,first half
B-142,M-2022-44,P-89321,45',1,0,0,first half
B-143,M-2022-45,P-18885,20',1,0,0,first half
B-144,M-2022-45,P-30486,60',1,0,0,second half
B-145,M-2022-45,P-33325,86',1,0,0,second half
B-146,M-2022-45,P-20051,87',1,0,0,second half
B-147,M-2022-45,P-65659,90'+10',1,0,0,"second half, stoppage time"
B-148,M-2022-45,P-59138,90'+10',1,0,0,"second half, stoppage time"
B-149,M-2022-45,P-36105,90'+9',1,0,0,"second half, stoppage time"
B-150,M-2022-46,P-87514,36',1,0,0,first half
B-151,M-2022-46,P-58692,90'+2',1,0,0,"second half, stoppage time"
B-152,M-2022-47,P-29115,28',1,0,0,first half
B-153,M-2022-47,P-47677,32',1,0,0,first half
B-154,M-2022-47,P-55367,6',1,0,0,first half
B-155,M-2022-47,P-55590,7',1,0,0,first half
B-156,M-2022-47,P-53452,81',1,0,1,second half
B-157,M-2022-47,P-74688,85',1,0,0,second half
