goal_id,match_id,ID,minute,own goal,penalty,match_period
G-121,M-2022-49,P-27540,10',0,0,first half
G-122,M-2022-49,P-39861,45'+1',0,0,"first half, stoppage time"
G-123,M-2022-49,P-68131,76',0,0,second half
G-124,M-2022-49,P-97615,81',0,0,second half
G-125,M-2022-50,P-14758,35',0,0,first half
G-126,M-2022-50,P-19776,57',0,0,second half
G-127,M-2022-50,P-10739,77',1,0,second half
G-128,M-2022-51,P-89750,44',0,0,first half
G-129,M-2022-51,P-64077,74',0,0,second half
G-130,M-2022-51,P-64077,90'+1',0,0,"second half, stoppage time"
G-131,M-2022-51,P-00549,90'+9',0,1,"second half, stoppage time"
G-132,M-2022-52,P-08169,38',0,0,first half
G-133,M-2022-52,P-58924,45'+3',0,0,"first half, stoppage time"
G-134,M-2022-52,P-76842,57',0,0,second half
G-135,M-2022-53,P-30206,43',0,0,first half
G-136,M-2022-53,P-93884,55',0,0,second half
G-137,M-2022-54,P-87008,13',0,1,first half
G-138,M-2022-54,P-68016,29',0,0,first half
G-139,M-2022-54,P-05164,36',0,0,first half
G-140,M-2022-54,P-92812,7',0,0,first half
G-141,M-2022-54,P-32599,76',0,0,second half
G-142,M-2022-56,P-41647,17',0,0,first half
G-143,M-2022-56,P-81972,33',0,0,first half
G-144,M-2022-56,P-41647,51',0,0,second half
G-145,M-2022-56,P-67578,55',0,0,second half
G-146,M-2022-56,P-23925,58',0,0,second half
G-147,M-2022-56,P-41647,67',0,0,second half
G-148,M-2022-56,P-27349,90'+2',0,0,"second half, stoppage time"
G-149,M-2022-57,P-87008,105'+1',0,0,"extra time, first half, stoppage time"
G-150,M-2022-57,P-46461,117',0,0,"extra time, second half"
G-151,M-2022-58,P-84430,35',0,0,first half
G-152,M-2022-58,P-14758,73',0,1,second half
G-153,M-2022-58,P-95036,83',0,0,second half
G-154,M-2022-58,P-95036,90'+11',0,0,"second half, stoppage time"
G-155,M-2022-59,P-42517,42',0,0,first half
G-156,M-2022-60,P-54517,17',0,0,first half
G-157,M-2022-60,P-58924,54',0,1,second half
G-158,M-2022-60,P-89750,78',0,0,second half
G-159,M-2022-61,P-14758,34',0,1,first half
G-160,M-2022-61,P-19776,39',0,0,first half
G-161,M-2022-61,P-19776,69',0,0,second half
G-162,M-2022-62,P-09867,5',0,0,first half
G-163,M-2022-62,P-92987,79',0,0,second half
G-164,M-2022-63,P-26942,42',0,0,first half
G-165,M-2022-63,P-58420,7',0,0,first half
G-166,M-2022-63,P-52013,9',0,0,first half
G-167,M-2022-64,P-14758,108',0,0,"extra time, second half"
G-168,M-2022-64,P-64077,118',0,1,"extra time, second half"
G-169,M-2022-64,P-14758,23',0,1,first half
G-170,M-2022-64,P-42113,36',0,0,first half
G-171,M-2022-64,P-64077,80',0,1,second half
G-172,M-2022-64,P-64077,81',0,0,second half
